CustomerID,ProductID,ReviewScore,ReviewText
CUST101922,PROD119578,5,Amazing product! I love it.
CUST104307,PROD112456,2,Terrible experience. Will not buy again.
CUST105560,PROD137537,1,"Decent, but could be improved."
CUST123859,PROD100525,3,Super fast delivery and great packaging!
CUST110409,PROD114168,3,Terrible experience. Will not buy again.
CUST116391,PROD114841,4,Excellent product! Highly recommend.
CUST106543,PROD100920,1,"Decent, but could be improved."
CUST118806,PROD126620,3,Super fast delivery and great packaging!
CUST100175,PROD107766,4,Average quality. Expected better.
CUST124563,PROD104646,4,Terrible experience. Will not buy again.
CUST132073,PROD119764,5,"Decent, but could be improved."
CUST115082,PROD105624,4,"Decent, but could be improved."
CUST121220,PROD105612,3,Very satisfied with the quality.
CUST132461,PROD132990,1,Super fast delivery and great packaging!
CUST101778,PROD125820,2,Amazing product! I love it.
CUST124621,PROD114030,3,Super fast delivery and great packaging!
CUST100494,PROD130553,1,Exceeded expectations. Great value for money.
CUST128425,PROD107184,4,Not worth the price.
CUST131063,PROD104458,1,Terrible experience. Will not buy again.
CUST118555,PROD109439,1,Amazing product! I love it.
CUST109267,PROD137924,2,"Decent, but could be improved."
CUST115464,PROD129791,5,Super fast delivery and great packaging!
CUST100523,PROD104626,3,Exceeded expectations. Great value for money.
CUST117888,PROD103350,4,"Decent, but could be improved."
CUST123671,PROD114221,4,Excellent product! Highly recommend.
CUST122607,PROD123662,1,Average quality. Expected better.
CUST113741,PROD114812,1,Poor customer service. Disappointed.
CUST118607,PROD133078,5,"Decent, but could be improved."
CUST106849,PROD112937,2,Average quality. Expected better.
CUST120827,PROD104617,3,"Decent, but could be improved."
CUST124170,PROD133504,2,Poor customer service. Disappointed.
CUST110291,PROD121171,2,Terrible experience. Will not buy again.
CUST110629,PROD107821,3,Terrible experience. Will not buy again.
CUST110803,PROD117903,1,"Decent, but could be improved."
CUST108383,PROD131535,1,Amazing product! I love it.
CUST103238,PROD102116,5,Super fast delivery and great packaging!
CUST111005,PROD111225,2,Excellent product! Highly recommend.
CUST109118,PROD102923,1,Amazing product! I love it.
CUST114977,PROD114587,4,Amazing product! I love it.
CUST128256,PROD122893,3,"Decent, but could be improved."
CUST127353,PROD112479,3,Not worth the price.
CUST103542,PROD139082,4,Not worth the price.
CUST124607,PROD114473,2,Poor customer service. Disappointed.
CUST124145,PROD115458,4,Super fast delivery and great packaging!
CUST110265,PROD100781,1,Excellent product! Highly recommend.
CUST129981,PROD143698,2,Exceeded expectations. Great value for money.
CUST131783,PROD133397,4,Not worth the price.
CUST102994,PROD116695,1,Super fast delivery and great packaging!
CUST115159,PROD124148,4,Excellent product! Highly recommend.
CUST115758,PROD102740,1,Poor customer service. Disappointed.
CUST121769,PROD131007,3,Average quality. Expected better.
CUST115096,PROD119134,2,"Decent, but could be improved."
