CustomerID,ReasonForLeaving,OverallExperience,SpecificIssues,Suggestions,FollowUp,ChurnType
CUST100001,Better options elsewhere,Neutral,Payment issues,Better customer support,Yes,Involuntary
CUST100002,None,Dissatisfied,None,None,No,Engaged
CUST100003,None,Satisfied,None,None,No,Loyal
CUST100004,None,Very Dissatisfied,None,None,No,Loyal
CUST100005,None,Very Satisfied,None,None,No,Loyal
CUST100006,None,Neutral,None,None,No,Loyal
CUST100007,None,Very Satisfied,None,None,No,Active
CUST100008,None,Very Satisfied,None,None,No,Loyal
CUST100009,None,Very Satisfied,None,None,No,Active
CUST100010,Better options elsewhere,Neutral,Customer service problems,Improve product quality,Yes,Voluntary
CUST100011,None,Dissatisfied,None,None,No,Loyal
CUST100012,Other,Satisfied,Customer service problems,Improve product quality,Yes,Downgrade
CUST100013,None,Dissatisfied,None,None,No,Loyal
CUST100014,None,Dissatisfied,None,None,No,Active
CUST100015,None,Very Dissatisfied,None,None,No,Loyal
CUST100016,Limited selection,Satisfied,Late deliveries,Enhance delivery service,No,Inactive
CUST100017,None,Neutral,None,None,No,Loyal
CUST100018,None,Satisfied,None,None,No,Active
CUST100019,None,Satisfied,None,None,No,Active
CUST100020,None,Neutral,None,None,No,Loyal
CUST100021,None,Very Dissatisfied,None,None,No,Active
CUST100022,None,Neutral,None,None,No,Engaged
CUST100023,None,Neutral,None,None,No,Loyal
CUST100024,None,Neutral,None,None,No,Loyal
CUST100025,None,Very Satisfied,None,None,No,Engaged
CUST100026,Limited selection,Satisfied,Customer service problems,Better customer support,No,Downgrade
CUST100027,None,Neutral,None,None,No,Engaged
CUST100028,None,Dissatisfied,None,None,No,Engaged
CUST100029,None,Neutral,None,None,No,Engaged
CUST100030,None,Very Satisfied,None,None,No,Active
CUST100031,None,Neutral,None,None,No,Loyal
CUST100032,None,Very Dissatisfied,None,None,No,Active
CUST100033,None,Dissatisfied,None,None,No,Engaged
CUST100034,None,Neutral,None,None,No,Active
