CustomerID,TimeSpentOnPages,PagesVisited,SessionDetails
CUST118221,4.75965,17,Checked out
CUST131293,11.4555,28,Subscribed to newsletter
CUST101906,9.54447,26,Logged in
CUST132415,60.9666,37,Searched for products
CUST123943,55.1242,11,Searched for products
CUST116113,10.2009,49,Checked out
CUST132762,43.3226,27,Browsed categories
CUST120399,43.0929,12,Guest session
CUST123771,93.9388,30,Guest session
CUST105662,12.8085,19,Searched for products
CUST112351,3.67286,19,Checked out
CUST126307,73.3152,4,Logged out
CUST110943,94.3619,10,Logged out
CUST113290,71.1562,36,Viewed product details
CUST110230,104.278,33,Subscribed to newsletter
CUST119489,87.3889,46,Added to cart
CUST129959,66.2073,6,Viewed product details
CUST110426,98.2459,5,Left site
CUST110004,65.1752,3,Logged in
CUST119532,68.9243,16,Logged out
CUST100456,70.8572,12,Searched for products
CUST112594,2.64441,7,Logged in
CUST128110,83.7054,38,Browsed categories
CUST118443,64.3145,6,Logged in
CUST132600,116.725,3,Guest session
CUST101592,61.9331,22,Added to cart
CUST103225,12.9507,17,Logged in
CUST101122,78.1693,13,Logged out
CUST121579,54.661,19,Logged out
CUST111505,101.12,50,Subscribed to newsletter
CUST113354,93.6726,37,Left site
CUST131381,88.2605,28,Left site
CUST128534,70.9301,3,Subscribed to newsletter
CUST118113,105.095,10,Added to cart
CUST101397,13.2206,11,Added to cart
CUST110283,60.4633,3,Added to cart
CUST106127,104.613,3,Logged in
CUST124910,114.07,35,Searched for products
CUST125008,115.529,8,Subscribed to newsletter
CUST124297,83.173,6,Searched for products
CUST115626,101.572,46,Guest session
CUST118045,118.997,37,Subscribed to newsletter
CUST114929,101.492,6,Guest session
CUST105330,23.7713,26,Checked out
CUST118013,29.3584,44,Added to cart
CUST119570,76.5282,15,Viewed product details
CUST124843,119.435,28,Logged in
CUST113356,21.5393,13,Logged out
CUST125532,11.6852,28,Logged in
CUST109619,43.4466,21,Checked out
CUST122484,63.0527,50,Browsed categories
CUST127517,24.6064,22,Logged in
CUST123868,104.344,14,Checked out
CUST112421,72.0935,40,Checked out
CUST108417,64.3401,37,Searched for products
CUST132137,43.8916,18,Viewed product details
CUST125395,71.1198,4,Checked out
CUST118476,105.81,13,Logged out
CUST103751,30.5145,11,Viewed product details
CUST104437,48.5305,28,Viewed product details
CUST124117,115.791,26,Logged out
CUST105038,113.388,9,Searched for products
CUST105083,17.4875,9,Logged out
CUST100550,100.317,43,Guest session
CUST116152,60.5035,32,Added to cart
CUST122127,103.99,29,Guest session
CUST104977,5.77351,19,Logged in
CUST112161,10.1426,14,Searched for products
CUST120208,77.7427,28,Guest session
CUST116405,22.5933,24,Logged in
CUST112448,34.931,35,Guest session
CUST119755,69.9382,43,Logged in
CUST132530,107.764,35,Checked out
CUST115493,3.93544,2,Left site
CUST107899,99.019,6,Checked out
CUST113097,111.601,50,Logged out
CUST114612,112.527,2,Logged out
CUST117379,28.939,30,Subscribed to newsletter
CUST129145,42.0097,18,Viewed product details
CUST111713,119.438,16,Searched for products
CUST111978,90.6347,33,Logged out
CUST110901,59.1577,11,Browsed categories
CUST128045,50.7405,35,Left site
CUST119831,6.09809,2,Subscribed to newsletter
CUST110825,92.2721,42,Guest session
CUST128992,51.6997,27,Logged out
CUST122061,72.3561,30,Logged in
CUST114096,105.533,50,Logged in
CUST124039,114.639,49,Checked out
CUST105320,93.6908,36,Logged in
CUST116430,68.2314,49,Subscribed to newsletter
CUST129585,112.389,22,Left site
CUST113369,116.9,44,Left site
CUST124147,58.6909,25,Searched for products
CUST124645,28.9098,24,Subscribed to newsletter
CUST116447,52.9907,25,Left site
CUST108210,35.0987,1,Guest session
CUST113126,99.6354,25,Logged out
CUST123398,108.567,46,Checked out
CUST124223,61.2547,26,Added to cart
CUST127786,36.1272,2,Guest session
CUST125925,66.2803,21,Guest session
CUST105832,42.4036,20,Logged in
CUST125718,35.1316,44,Viewed product details
CUST103315,54.6319,41,Guest session
CUST100566,117.629,19,Logged in
CUST102015,117.633,33,Checked out
CUST103018,10.0441,12,Checked out
CUST127876,46.9769,26,Left site
CUST109277,19.88,23,Subscribed to newsletter
CUST101119,112.87,49,Subscribed to newsletter
CUST100735,54.3219,49,Searched for products
CUST116433,6.16008,38,Left site
CUST116832,117.363,14,Browsed categories
CUST104670,30.1024,38,Viewed product details
CUST115417,45.1425,11,Left site
CUST121232,96.2656,24,Viewed product details
CUST132100,32.958,42,Searched for products
CUST114258,109.628,47,Viewed product details
CUST116031,41.966,7,Checked out
CUST122901,69.8907,38,Subscribed to newsletter
CUST130222,117.068,33,Guest session
CUST119246,8.45767,15,Browsed categories
CUST129974,62.4801,1,Logged out
CUST116469,119.599,20,Left site
CUST105858,28.516,2,Guest session
CUST117256,10.2994,46,Browsed categories
CUST132481,97.5238,30,Logged out
CUST131846,56.335,42,Searched for products
CUST126437,64.0228,2,Guest session
CUST101877,84.464,24,Guest session
CUST132646,6.53572,46,Logged in
CUST123228,41.3824,23,Added to cart
CUST123262,97.6113,14,Searched for products
CUST115913,20.3103,10,Logged out
CUST128363,10.4963,13,Left site
CUST120653,3.79685,31,Logged in
CUST108592,73.5632,12,Browsed categories
CUST108027,39.6939,19,Checked out
CUST126803,109.347,37,Left site
CUST119405,13.8296,1,Logged out
CUST130592,21.3424,46,Checked out
CUST117055,94.8797,36,Logged out
CUST132133,96.9403,48,Left site
CUST100497,58.8842,35,Subscribed to newsletter
CUST129973,70.5545,33,Checked out
CUST128649,3.00546,6,Subscribed to newsletter
CUST100453,53.9754,36,Logged out
CUST116687,58.4393,10,Left site
CUST124306,107.363,6,Subscribed to newsletter
CUST128528,58.5122,36,Added to cart
CUST124120,4.44237,13,Logged in
CUST116347,117.998,50,Browsed categories
CUST130204,28.4284,39,Logged out
CUST122951,92.0716,22,Browsed categories
CUST124548,50.0513,3,Browsed categories
CUST127787,66.0067,4,Browsed categories
CUST118265,114.362,48,Guest session
CUST126436,83.0271,6,Subscribed to newsletter
CUST102060,26.6597,14,Logged in
CUST115891,66.3277,34,Left site
CUST131854,88.6471,50,Checked out
CUST116700,54.8397,17,Guest session
CUST123606,116.74,10,Subscribed to newsletter
CUST100904,35.6312,35,Logged in
CUST110976,88.5851,26,Guest session
CUST120676,90.022,5,Subscribed to newsletter
CUST113864,27.7756,25,Searched for products
CUST113376,16.8712,1,Guest session
CUST109363,82.728,1,Subscribed to newsletter
CUST103921,106.072,28,Left site
CUST105094,82.7499,14,Subscribed to newsletter
CUST116335,74.7047,21,Left site
CUST118348,5.31764,41,Left site
CUST122167,109.409,27,Searched for products
CUST126549,40.0294,21,Viewed product details
CUST124074,71.4261,41,Searched for products
CUST120114,10.2301,28,Viewed product details
CUST112429,90.8207,22,Subscribed to newsletter
CUST126650,64.3474,3,Browsed categories
CUST124327,40.4124,46,Checked out
CUST108168,7.89969,27,Browsed categories
CUST110086,40.3868,46,Viewed product details
CUST124538,24.7085,38,Logged out
CUST131515,81.572,14,Searched for products
CUST107827,38.7676,30,Subscribed to newsletter
CUST105529,81.933,15,Checked out
CUST132251,106.845,34,Subscribed to newsletter
CUST108921,17.7465,25,Subscribed to newsletter
CUST131162,49.2161,35,Logged out
CUST130169,9.94928,34,Logged out
CUST109664,111.145,48,Logged out
CUST120248,7.19218,43,Searched for products
CUST131936,25.9959,42,Guest session
CUST113084,21.5539,21,Guest session
CUST116048,65.0913,25,Logged in
CUST120717,80.4888,22,Viewed product details
CUST124394,11.1856,47,Left site
CUST130871,14.3986,19,Guest session
CUST101166,118.713,36,Browsed categories
CUST108620,35.974,32,Logged out
CUST105439,117.119,10,Browsed categories
CUST100447,79.6354,7,Guest session
CUST122369,81.4917,47,Left site
CUST113034,52.2139,3,Checked out
CUST107873,63.3007,28,Checked out
CUST127209,38.8259,1,Subscribed to newsletter
CUST102925,34.8361,4,Left site
CUST115997,105.398,5,Logged in
CUST122584,27.8777,1,Searched for products
CUST132298,56.4079,48,Logged in
CUST114648,107.998,49,Left site
CUST105753,103.804,45,Checked out
CUST119015,65.0695,8,Checked out
CUST102454,57.1118,4,Searched for products
CUST103461,14.9967,6,Searched for products
CUST130003,22.2286,48,Checked out
CUST131188,0.580233,10,Viewed product details
CUST110500,99.4129,10,Checked out
CUST106490,25.5984,17,Logged in
CUST119777,36.4299,12,Added to cart
CUST114339,44.0703,17,Logged in
CUST106439,31.9478,29,Logged in
CUST108701,24.2089,22,Logged in
CUST106519,60.0512,31,Left site
CUST129242,87.0679,48,Guest session
CUST101781,105.985,36,Added to cart
CUST128914,2.84135,15,Viewed product details
CUST111499,118.067,14,Checked out
CUST100542,76.4188,50,Logged out
CUST124483,34.3146,30,Added to cart
CUST109214,76.0432,17,Viewed product details
CUST100753,3.22428,22,Browsed categories
CUST132148,29.2235,44,Checked out
CUST108359,81.747,18,Viewed product details
CUST132038,17.8194,26,Browsed categories
CUST103870,7.97627,43,Viewed product details
CUST101728,47.7756,49,Subscribed to newsletter
CUST110163,4.49342,23,Left site
CUST112975,113.104,23,Subscribed to newsletter
CUST103400,102.921,5,Checked out
CUST107175,95.4961,26,Guest session
CUST100703,21.1382,50,Logged out
CUST116158,97.1664,30,Checked out
CUST120867,71.2292,24,Guest session
CUST126639,11.8566,41,Guest session
CUST116383,110.562,26,Guest session
CUST112601,7.05724,4,Logged in
CUST106180,1.59409,30,Checked out
CUST104541,5.35775,1,Subscribed to newsletter
CUST115848,26.8748,38,Logged in
CUST131747,77.0607,6,Guest session
CUST121953,64.1796,15,Logged in
CUST103126,70.9192,34,Guest session
CUST131534,31.3825,37,Browsed categories
CUST118115,36.6086,7,Left site
CUST101839,47.5166,46,Logged in
CUST126334,4.84718,27,Subscribed to newsletter
CUST126312,70.9848,40,Logged out
CUST115613,81.2364,18,Browsed categories
CUST100385,90.4888,41,Subscribed to newsletter
CUST107515,17.2651,5,Browsed categories
CUST112265,32.1337,38,Searched for products
CUST124182,51.0141,40,Guest session
CUST116910,99.7375,33,Added to cart
CUST126513,30.0404,44,Subscribed to newsletter
CUST105639,114.282,44,Checked out
CUST120275,42.9725,23,Checked out
CUST115979,3.61086,4,Left site
CUST102471,50.2446,6,Left site
CUST114551,8.28262,41,Viewed product details
CUST110106,67.5713,15,Added to cart
CUST113420,6.10538,22,Viewed product details
CUST109215,65.5654,42,Searched for products
CUST126702,106.382,22,Searched for products
CUST117358,63.5924,1,Searched for products
CUST131270,4.30013,43,Checked out
CUST100833,59.2598,29,Checked out
CUST129857,83.0927,10,Subscribed to newsletter
CUST105366,32.6261,8,Logged out
CUST119951,81.2839,42,Subscribed to newsletter
CUST128752,25.0878,43,Subscribed to newsletter
CUST132325,105.193,12,Browsed categories
CUST128661,53.9681,42,Guest session
CUST109819,43.1038,31,Subscribed to newsletter
CUST100081,101.758,26,Left site
CUST117902,10.1207,39,Logged out
CUST124082,60.5801,27,Viewed product details
CUST100575,31.2074,35,Viewed product details
CUST125771,109.836,15,Left site
CUST131891,37.9288,15,Logged in
CUST127857,93.0161,22,Left site
CUST114513,59.3693,33,Left site
CUST115105,44.7194,3,Added to cart
CUST104967,9.72317,39,Logged in
CUST132248,75.3648,12,Added to cart
CUST118693,28.6254,31,Logged out
CUST123864,91.5646,30,Searched for products
CUST103040,59.599,49,Left site
CUST106026,69.1978,46,Logged out
CUST110961,100.737,2,Searched for products
CUST112663,42.6953,9,Viewed product details
CUST118356,52.0607,34,Left site
CUST113261,49.4787,3,Checked out
CUST107657,115.584,5,Added to cart
CUST131265,29.5882,38,Logged out
CUST122742,74.9965,15,Browsed categories
CUST104423,39.0265,20,Logged in
CUST131330,84.1431,38,Logged in
CUST109691,59.7668,30,Viewed product details
CUST120860,96.0832,36,Subscribed to newsletter
CUST100700,3.94638,37,Logged in
CUST100146,83.9097,13,Left site
CUST108075,31.7691,40,Added to cart
CUST105147,97.2284,30,Guest session
CUST116176,107.568,31,Added to cart
CUST110509,34.8289,40,Viewed product details
CUST107766,108.57,15,Logged out
CUST109063,89.5296,15,Checked out
CUST112778,8.3592,20,Logged out
CUST129865,72.7427,30,Browsed categories
CUST130112,15.5145,20,Logged out
CUST129271,8.68743,25,Searched for products
CUST119055,69.9163,34,Left site
CUST115482,86.324,6,Browsed categories
CUST125872,11.2768,48,Logged out
CUST113343,88.4538,47,Logged out
CUST119586,61.3423,22,Searched for products
CUST100469,90.518,46,Guest session
CUST126760,66.2766,7,Logged in
CUST111315,39.0666,29,Checked out
CUST108233,8.72755,31,Left site
CUST115952,2.46207,49,Added to cart
CUST102096,116.623,10,Logged in
CUST132329,18.1951,3,Logged in
CUST108618,90.5727,9,Browsed categories
CUST113247,14.9529,32,Searched for products
CUST110347,79.0519,20,Checked out
CUST132342,48.3591,8,Left site
CUST129065,55.2081,6,Browsed categories
CUST115416,13.8661,1,Viewed product details
CUST123006,104.872,47,Browsed categories
CUST100144,31.8894,34,Viewed product details
CUST117546,72.2686,33,Logged out
CUST106671,71.0906,26,Added to cart
CUST110608,116.893,18,Left site
CUST110602,4.84718,23,Guest session
CUST113236,30.5947,43,Searched for products
CUST118393,100.967,21,Logged out
CUST128740,63.3517,23,Browsed categories
CUST115769,32.4766,14,Logged in
CUST103148,31.2001,10,Left site
CUST118540,114.238,28,Browsed categories
CUST109151,52.3853,46,Checked out
CUST129204,104.624,33,Checked out
CUST108149,43.6837,26,Viewed product details
CUST130428,113.476,39,Added to cart
CUST109607,8.42485,49,Subscribed to newsletter
CUST115375,31.1855,44,Checked out
CUST105141,40.6859,24,Left site
CUST122142,108.02,26,Left site
CUST104993,45.6749,2,Guest session
CUST108446,54.5589,34,Viewed product details
CUST113074,12.8158,36,Logged out
CUST125320,9.41317,12,Logged in
CUST106098,5.01129,1,Guest session
CUST101688,28.0492,24,Logged out
CUST115120,103.093,37,Added to cart
CUST124558,4.84718,20,Logged in
CUST114558,66.4517,9,Checked out
CUST100720,28.3336,49,Guest session
CUST111923,24.3767,50,Logged in
CUST110662,94.0956,50,Added to cart
CUST110571,47.0681,22,Browsed categories
CUST111228,11.8895,38,Added to cart
CUST109314,30.3212,48,Browsed categories
CUST101124,104.442,27,Logged out
CUST106141,13.4431,44,Added to cart
CUST126673,68.9279,4,Logged in
CUST106017,93.8002,20,Guest session
CUST127837,64.1322,42,Subscribed to newsletter
CUST100026,57.6005,22,Checked out
CUST116005,79.8324,50,Viewed product details
CUST114134,41.335,35,Logged in
